word,phonetic,pos,meaning,example,exampleCn,category,level,list
kilometre,'kilәjmi:tә(r),n.,"n. 公里, 千米","Students often meet the word ""kilometre"" in reading and daily communication.",这个例句展示了“kilometre”在四级阅读和写作中的常见用法。,daily|cet4,,
registered,'redʒistәd,v.,"a. 注册的, 登记过的, 记名的, 挂号的\n[法] 已注册的, 已登记的, 挂号的",A registered Percheron.,这个例句展示了“registered”在四级阅读和写作中的常见用法。,daily|cet4,,
davis,'deivis,n.,n. 戴维斯（男子名）,"Students often meet the word ""davis"" in reading and daily communication.",这个例句展示了“davis”在四级阅读和写作中的常见用法。,daily|cet4,,
churchill,'tʃә:tʃil,n.,n. 邱吉尔,"Students often meet the word ""churchill"" in reading and daily communication.",这个例句展示了“churchill”在四级阅读和写作中的常见用法。,daily|cet4,,
albeit,ɔ:l'bi:it,conj.,"conj. 尽管, 虽然","Students often meet the word ""albeit"" in reading and daily communication.",这个例句展示了“albeit”在四级阅读和写作中的常见用法。,daily|cet4,,
halfway,'hɑ:f'wei,adv.,"a. 中途的, 不彻底的, 部分的\nadv. 半路地, 在中途, 在半途",At the halfway mark.,这个例句展示了“halfway”在四级阅读和写作中的常见用法。,daily|cet4,,
developmental,di.velәp'mentәl,adj.,"a. 发展的, 进化的, 启发的\n[医] 发育的",Developmental psychology.,这个例句展示了“developmental”在四级阅读和写作中的常见用法。,daily|cet4,,
cemetery,'semitәri,n.,"n. 墓地, 公墓\n[法] 公墓, 墓地","Students often meet the word ""cemetery"" in reading and daily communication.",这个例句展示了“cemetery”在四级阅读和写作中的常见用法。,daily|cet4,,
harassment,'hærәsmәnt,n.,"n. 困扰, 烦扰, 烦恼\n[法] 折磨, 骚扰, 侵扰",So great was his harassment that he wanted to destroy his tormentors.,这个例句展示了“harassment”在四级阅读和写作中的常见用法。,daily|cet4,,
selected,si'lektid,v.,"a. 挑选出来的, 精选的\n[计] 被选的",She selected a pair of shoes from among the dozen the salesgirl had shown her.,这个例句展示了“selected”在四级阅读和写作中的常见用法。,daily|cet4,,
booking,'bukiŋ,n.,n. 预约演出合同\n[机] 书型模法,Wondered who had made the booking.,这个例句展示了“booking”在四级阅读和写作中的常见用法。,daily|cet4,,
spencer,'spensә,n.,"n. 针织短外衣, 斜桁纵帆","Students often meet the word ""spencer"" in reading and daily communication.",这个例句展示了“spencer”在四级阅读和写作中的常见用法。,daily|cet4,,
wheelchair,'hwi:l.tʃєә,n.,n. 轮椅,"Students often meet the word ""wheelchair"" in reading and daily communication.",这个例句展示了“wheelchair”在四级阅读和写作中的常见用法。,daily|cet4,,
turkish,'tә:kiʃ,n.,"n. 土耳其语\na. 土耳其的, 土耳其人的, 土耳其语的",Turkish towels.,这个例句展示了“turkish”在四级阅读和写作中的常见用法。,daily|cet4,,
atop,ә'tɒp,prep.,adv. 在顶上\nprep. 在...的顶上,"Students often meet the word ""atop"" in reading and daily communication.",这个例句展示了“atop”在四级阅读和写作中的常见用法。,daily|cet4,,
planned,plænd,v.,"a. 计划了的, 预定的, 根据计划的, 有组织的\n[法] 有计划的, 计划的, 有秩序的",The rebels had planned turmoil and confusion.,这个例句展示了“planned”在四级阅读和写作中的常见用法。,daily|cet4,,
embarrassed,im'bærәst,v.,a. 尴尬的；窘迫的,Was embarrassed by her child's tantrums.,这个例句展示了“embarrassed”在四级阅读和写作中的常见用法。,daily|cet4,,
thou,θau,pron.,"pron. 汝, 你, 尔","Students often meet the word ""thou"" in reading and daily communication.",这个例句展示了“thou”在四级阅读和写作中的常见用法。,daily|cet4,,
reduced,ri'dju:st,v.,a. 减少的；简化的；缩减的,He reduced the population to slavery.,这个例句展示了“reduced”在四级阅读和写作中的常见用法。,daily|cet4,,
thompson,'tɔmpsn,n.,n. 汤普森（姓）,"Students often meet the word ""thompson"" in reading and daily communication.",这个例句展示了“thompson”在四级阅读和写作中的常见用法。,daily|cet4,,
betty,'beti,n.,n. 贝蒂（女子名）,"Students often meet the word ""betty"" in reading and daily communication.",这个例句展示了“betty”在四级阅读和写作中的常见用法。,daily|cet4,,
sexuality,.sekʃu'æliti,n.,"n. 性征, 性行为, 性欲\n[医] 性别, 性欲","Students often meet the word ""sexuality"" in reading and daily communication.",这个例句展示了“sexuality”在四级阅读和写作中的常见用法。,daily|cet4,,
legislator,'ledʒisleitә,n.,"n. 立法者, 立法官, 立法委员\n[法] 立法者, 立法机关成员, 立法委员","Students often meet the word ""legislator"" in reading and daily communication.",这个例句展示了“legislator”在四级阅读和写作中的常见用法。,daily|cet4,,
programming,'prәugræmiŋ,n.,"n. 节目的计划, 编制程序\n[计] 程序设计; 程序编制","Students often meet the word ""programming"" in reading and daily communication.",这个例句展示了“programming”在四级阅读和写作中的常见用法。,daily|cet4,,
alison,'ælisn,n.,n. 艾莉森（女子名）,"Students often meet the word ""alison"" in reading and daily communication.",这个例句展示了“alison”在四级阅读和写作中的常见用法。,daily|cet4,,
aberdeen,",æbә'di:n",n.,n. 亚伯丁（英国苏格兰一郡 ）；苏格兰粗毛猎狐狗（等于Aberdeenterrier）,"Students often meet the word ""aberdeen"" in reading and daily communication.",这个例句展示了“aberdeen”在四级阅读和写作中的常见用法。,daily|cet4,,
peanut,'pi:nʌt,n.,"n. 花生, 小人物, 极小的数额\na. 渺小的, 微不足道的",Peanut politicians.,这个例句展示了“peanut”在四级阅读和写作中的常见用法。,daily|cet4,,
valuation,.vælju'eiʃәn,n.,"n. 评价, 估价, 价值判断\n[经] 估价, 计价, 评价",He set a high valuation on friendship.,这个例句展示了“valuation”在四级阅读和写作中的常见用法。,daily|cet4,,
resulting,ri'zʌltiŋ,v.,"结果的, 合成的","Students often meet the word ""resulting"" in reading and daily communication.",这个例句展示了“resulting”在四级阅读和写作中的常见用法。,daily|cet4,,
characterise,'kærәktәraiz,v.,"vt. 表示...的特性, 成为/是...的特性, 刻划/描述...的性格\nvi. 在文艺作品中塑造人物, 描绘性格","Students often meet the word ""characterise"" in reading and daily communication.",这个例句展示了“characterise”在四级阅读和写作中的常见用法。,daily|cet4,,
netherlands,'neðәlәndz,n.,n. 荷兰,"Students often meet the word ""netherlands"" in reading and daily communication.",这个例句展示了“netherlands”在四级阅读和写作中的常见用法。,daily|cet4,,
julie,,n.,n. 朱莉（女子名）,"Students often meet the word ""julie"" in reading and daily communication.",这个例句展示了“julie”在四级阅读和写作中的常见用法。,daily|cet4,,
yugoslavia,'ju:^әu'slɑ:vjә,n.,n. 南斯拉夫\n[经] 南斯拉夫,"Tito's Yugoslavia included Slovenia, Croatia, Macedonia, Bosnia-Herzegovina, Serbia, and Montenegro.",这个例句展示了“yugoslavia”在四级阅读和写作中的常见用法。,daily|cet4,,
feminist,'feminist,n.,n. 男女平等主义者,Feminist critique.,这个例句展示了“feminist”在四级阅读和写作中的常见用法。,daily|cet4,,
emotionally,i'mәuʃәnәli,adv.,adv. 在情绪上,At the funeral he spoke emotionally.,这个例句展示了“emotionally”在四级阅读和写作中的常见用法。,daily|cet4,,
sunderland,'sʌndәlәnd,n.,森德兰[英国英格兰东北部港市](或译散德兰),"Students often meet the word ""sunderland"" in reading and daily communication.",这个例句展示了“sunderland”在四级阅读和写作中的常见用法。,daily|cet4,,
ranger,'reinʒә,n.,"n. 王室守林人, 骑警, 漫游者","Students often meet the word ""ranger"" in reading and daily communication.",这个例句展示了“ranger”在四级阅读和写作中的常见用法。,daily|cet4,,
allegedly,ә'ledʒidli,adv.,adv. 依其申述,He was on trial for allegedly murdering his wife.,这个例句展示了“allegedly”在四级阅读和写作中的常见用法。,daily|cet4,,
covenant,'kʌvәnәnt,v.,"n. 契约, 盟约\nv. 立契约, 缔结盟约","Students often meet the word ""covenant"" in reading and daily communication.",这个例句展示了“covenant”在四级阅读和写作中的常见用法。,daily|cet4,,
wicket,'wikit,n.,"n. 小门, 腰门, 售票窗","Students often meet the word ""wicket"" in reading and daily communication.",这个例句展示了“wicket”在四级阅读和写作中的常见用法。,daily|cet4,,
philosophical,.filә'sɒfikl,adj.,"a. 哲学的, 冷静的, 达观的, 哲学上的, 哲学家似的",Philosophical writing.,这个例句展示了“philosophical”在四级阅读和写作中的常见用法。,daily|cet4,,
blessing,'blesiŋ,n.,n. 祝福,He gave the project his blessing.,这个例句展示了“blessing”在四级阅读和写作中的常见用法。,daily|cet4,,
banana,bә'nɑ:nә,n.,n. 香蕉,"Students often meet the word ""banana"" in reading and daily communication.",这个例句展示了“banana”在四级阅读和写作中的常见用法。,daily|cet4,,
printed,'printid,v.,"a. 印刷的, 印好的, 印花样的\n[电] 印刷的",These news should not be printed.,这个例句展示了“printed”在四级阅读和写作中的常见用法。,daily|cet4,,
grandparent,'grændperәnt,n.,n. 祖父母,"Students often meet the word ""grandparent"" in reading and daily communication.",这个例句展示了“grandparent”在四级阅读和写作中的常见用法。,daily|cet4,,
inclined,in'klaind,v.,"a. 倾向于...的, 想要...的, 可能的, 趋向于...的",He inclined to corpulence.,这个例句展示了“inclined”在四级阅读和写作中的常见用法。,daily|cet4,,
continually,kәn'tinjuәli,adv.,"adv. 不断地, 频繁地",Complained continually that there wasn't enough money.,这个例句展示了“continually”在四级阅读和写作中的常见用法。,daily|cet4,,
lawmaker,lɒ:'meikә,n.,n. 立法者,"Students often meet the word ""lawmaker"" in reading and daily communication.",这个例句展示了“lawmaker”在四级阅读和写作中的常见用法。,daily|cet4,,
temporarily,'tempәrәrәli,adv.,"adv. 暂时, 一时, 临时",He will work here temporarily.,这个例句展示了“temporarily”在四级阅读和写作中的常见用法。,daily|cet4,,
importantly,,adv.,adv. 重要地；大量地；有名望地；自命不凡地,"More importantly, Weber held that the manifold meaning attached to the event by the social scientist could alter his definition of the concrete event itself.",这个例句展示了“importantly”在四级阅读和写作中的常见用法。,daily|cet4,,
neatly,'ni:tli,adv.,"adv. 整洁地, 干净地, 匀称地",She put the slippers under the bed neatly.,这个例句展示了“neatly”在四级阅读和写作中的常见用法。,daily|cet4,,
dancing,'dænsiŋ,n.,n. 舞蹈\n[建] 跳动的,Dancing flames.,这个例句展示了“dancing”在四级阅读和写作中的常见用法。,daily|cet4,,
nursing,'nә:siŋ,n.,"n. 看护, 养育\n[医] 护理[法], 喂乳[法]","Students often meet the word ""nursing"" in reading and daily communication.",这个例句展示了“nursing”在四级阅读和写作中的常见用法。,daily|cet4,,
privately,,adv.,adv. 秘密地；私下地,It was discussed privately between the two men.,这个例句展示了“privately”在四级阅读和写作中的常见用法。,daily|cet4,,
coming,'kʌmiŋ,n.,"n. 来临\na. 就要来的, 接着的",This coming Thursday.,这个例句展示了“coming”在四级阅读和写作中的常见用法。,daily|cet4,,
distinguished,dis'tiŋgwiʃt,v.,"a. 卓著的, 著名的",Our distinguished professor.,这个例句展示了“distinguished”在四级阅读和写作中的常见用法。,daily|cet4,,
varying,,v.,改变,The varying angles of roof slope.,这个例句展示了“varying”在四级阅读和写作中的常见用法。,daily|cet4,,
stuck,stʌk,v.,stick的过去式和过去分词,The label stuck to her for the rest of her life.,这个例句展示了“stuck”在四级阅读和写作中的常见用法。,daily|cet4,,
